song_url,artist_img,title,artist
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/TTglDb7qjvQ?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://somamagazine.com/site/wp-content/uploads/James_Blake_-09473.jpg,Radio Silence,James Blake
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/qt3bNjORLe8?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://assets.rollingstone.com/assets/2015/list/kendrick-lamars-new-album-everything-we-know-20150311/188584/large_rect/1426027613/1401x788-h_15.malu01211.jpg,Untitled 2,Kendrick Lamar
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/yI2oS2hoL0k?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",https://consequenceofsound.files.wordpress.com/2016/02/radiohead.jpg,Burn The Witch,Radiohead
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/SJuFdkMOP20?list=PLJNbijG2M7Owm6iTwRIvyugLWUHXPg_0j&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://atlantablackstar.com/wp-content/uploads/2016/04/MIA-artist.jpg,Broader Than a Border,M.I.A
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/NF-kLy44Hls?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://assets.rollingstone.com/assets/2013/article/daft-punk-playing-grammy-awards-2014-20131219/13852/_original/1035x778-dp-1800-1387421547.jpg,Lose Yourself to Dance,Daft Punk
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/Zypyi3Dss9s?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://www.thatitgirl.com/wp-content/uploads/2015/10/Drake-Tom-Ford-Lipstick-01.jpg,Hype,Drake
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/ybMEINc5KRw?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://runthetrap.com/wp-content/uploads/2015/06/skrillex-vic-mensa.jpg,No Chill,Vic Mensa ft. Skrillex
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/oCd6SQ67k-Y?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://assets.rollingstone.com/assets/2015/media/217545/_original/1448297584/1035x1553-h_14542938.jpg,What the Fuck Right Now,"Tyler, The Creator"
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/3-0JZlrk4xA?showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://www.hiphopengine.com/uploads/tracks/20897/20897_dPCrw0Kwwy.jpg,Afro Blue,Robert Glasper Experiment ft. Erykah Badu
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/p3f-eDzkxcw?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://assets.noisey.com/content-images/contentimage/19241/Childish-Gambino.jpg,Telegraph Ave,Childish Gambino
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/oyEuk8j8imI"" frameborder=""0"" allowfullscreen></iframe>",https://media.gq.com/photos/56bcb218cdf2db6945d2ef93/master/pass/bieber-coverstory-square.jpg,Love Yourself,Justin Bieber
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/7gtdpnKbT10?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://audiosalad-wordpress.s3.amazonaws.com/wp-content/uploads/2015/10/246350237.jpg,You're Not Good Enough,Blood Orange
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/7Dqgr0wNyPo"" frameborder=""0"" allowfullscreen></iframe>",http://saintheron.com/wp-content/uploads/2016/02/kanye-west2.jpg,Mercy,Kanye West
"<iframe class=""center-block"" width=""420"" height=""315"" src=""https://www.youtube.com/embed/AfK_yruWujg?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://www.hotnewbeats.com/wp-content/uploads/2015/05/sean-paul.jpg,Deport Them,Sean Paul
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/r-Nw7HbaeWY?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://atlantablackstar.com/wp-content/uploads/2016/04/MIA-artist.jpg,Borders,M.I.A
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/C6zv_5zGEso?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://www.billboard.com/files/media/sohn_billboard_650b.jpg,Bloodflows,SOHN
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/2xJ0LlF5p_A?showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://somamagazine.com/site/wp-content/uploads/James_Blake_-09473.jpg,200 Press,James Blake
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/2ODny2oztGY?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://www.billboard.com/files/stylus/108143-fat_joe_617_409.jpg,All The Way Up,"Fat Joe, Remy Ma, JAY Z ft. French Montana, Infared"
"<iframe class=""center-block"" width=""560"" height=""315"" src=""https://www.youtube.com/embed/GZSsOEqgm0c?rel=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",http://upstreamideas.org/wp-content/uploads/2015/07/MajorLazer_News_565x360.png,Be Together,Major Lazer
